signal_date,ticker,pattern_type,score,date,day_offset,open,high,low,close,volume,daily_return_pct
2026-06-11,JBCHEPHARM,vcp,87.1,2026-05-20,-15,2170.0,2189.5,2138.1,2163.6,235609,-0.2949
2026-06-11,JBCHEPHARM,vcp,87.1,2026-05-21,-14,2166.0,2194.9,2154.5,2178.9,417886,0.5956
2026-06-11,JBCHEPHARM,vcp,87.1,2026-05-22,-13,2189.8,2217.0,2171.0,2192.6,203854,0.1279
2026-06-11,JBCHEPHARM,vcp,87.1,2026-05-25,-12,2214.0,2285.3,2200.0,2228.4,485276,0.6504
2026-06-11,JBCHEPHARM,vcp,87.1,2026-05-26,-11,2248.0,2248.0,2168.0,2190.0,207333,-2.5801
2026-06-11,JBCHEPHARM,vcp,87.1,2026-05-27,-10,2190.0,2215.0,2168.0,2204.2,170231,0.6484
2026-06-11,JBCHEPHARM,vcp,87.1,2026-05-29,-9,2204.2,2239.8,2131.0,2167.4,324822,-1.6695
2026-06-11,JBCHEPHARM,vcp,87.1,2026-06-01,-8,2160.7,2177.7,2120.0,2140.2,667973,-0.9488
2026-06-11,JBCHEPHARM,vcp,87.1,2026-06-02,-7,2122.0,2135.3,2080.9,2129.6,371359,0.3582
2026-06-11,JBCHEPHARM,vcp,87.1,2026-06-03,-6,2121.0,2149.2,2104.0,2140.0,250200,0.8958
2026-06-11,JBCHEPHARM,vcp,87.1,2026-06-04,-5,2124.0,2163.4,2121.7,2133.7,420680,0.4567
2026-06-11,JBCHEPHARM,vcp,87.1,2026-06-05,-4,2145.5,2184.0,2124.9,2169.3,188786,1.1093
2026-06-11,JBCHEPHARM,vcp,87.1,2026-06-08,-3,2164.0,2226.1,2131.3,2172.8,198356,0.4067
2026-06-11,JBCHEPHARM,vcp,87.1,2026-06-09,-2,2197.5,2216.1,2165.6,2210.2,190472,0.5779
2026-06-11,JBCHEPHARM,vcp,87.1,2026-06-10,-1,2209.9,2250.3,2190.1,2201.5,277256,-0.3801
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-07,-25,553.0,572.0,552.2,572.0,319604,3.4358
